ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20,line21,line22,line23,line24,line25,line26,line27,line28,line29,line30,line31,line32
21,180,Kalalpitiya,Kalutara,Pasyala,Kalalpitiya,Danowita,Kalalpitiya,Kalalpitiya,Kalalpitiya,Kalagedihena,Pasyala,Kalalpitiya,Kalutara,Pahathgama,Kochchikade,Kochchikade,Kochchikade,Kochchikade,Kochchikade,Thelwatta,Thelwatta,Kochchikade,Pattunupittya Railway Gate,Kalalpitiya,Kalalpitiya,Kalalpitiya,Koholanwala,Kalalpitiya,Kalalpitiya,Kalalpitiya,Mudungoda,Kalalpitiya,Kalalpitiya,Kalalpitiya,Kalalpitiya
22,185,Pasyala,Katukurunda Handiya,Kajugama,Pasyala,Wewaldeniya,Pasyala,Pasyala,Pasyala,Thihariya,Kajugama,Pasyala,Katukurunda Handiya,Kaluaggala,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Kuurana,Kuurana,Thoopuwa Handiya,Pallegama Nandaramaya,Pasyala,Pasyala,Pasyala,Udu Deniya,Pasyala,Pasyala,Pasyala,Miriswatta,Pasyala,Pasyala,Pasyala,Pasyala
23,193,Kajugama,Malegoda,Radawadunna,Kajugama,Radawadunna,Kajugama,Kajugama,Kajugama,Nittambuwa Sangabodi,Radawadunna,Kajugama,Malegoda,Suduwella,Waikkala,Waikkala,Waikkala,Waikkala,Waikkala,20th Milepost,20th Milepost,Waikkala,Ulapane Kadevidiya,Kajugama,Kajugama,Kajugama,Nalanda,Kajugama,Kajugama,Kajugama,Yakkala,Kajugama,Kajugama,Kajugama,Kajugama
24,198,Radawadunna,Payagala,Wewaldeniya,Radawadunna,Kajugama,Radawadunna,Radawadunna,Radawadunna,Nittambuwa,Wewaldeniya,Radawadunna,Payagala,Shaalawa,Nainamadama,Nainamadama,Nainamadama,Nainamadama,Nainamadama,18th Milepost,18th Milepost,Nainamadama,Thambiligalawatta Para,Radawadunna,Radawadunna,Radawadunna,Dumgamwela,Radawadunna,Radawadunna,Radawadunna,Aluthgama,Radawadunna,Radawadunna,Radawadunna,Radawadunna
25,205,Wewaldeniya,Maggona,Danowita,Wewaldeniya,Pasyala,Wewaldeniya,Wewaldeniya,Wewaldeniya,Kalalpitiya,Danowita,Wewaldeniya,Maggona,Kosgama,Dummalldeniya,Dummalldeniya,Dummalldeniya,Dummalldeniya,Dummalldeniya,Liyanagemulla,Liyanagemulla,Dummalldeniya,Lakshapilla,Wewaldeniya,Wewaldeniya,Wewaldeniya,Arangala,Wewaldeniya,Wewaldeniya,Wewaldeniya,Kalagedihena,Wewaldeniya,Wewaldeniya,Wewaldeniya,Wewaldeniya
26,211,Danowita,Polkotuwa,Dummaldeniya,Danowita,Kalalpitiya,Danowita,Danowita,Danowita,Pasyala,Dummaldeniya,Danowita,Polkotuwa,Aluth Ambalama,Wennappuwa,Wennappuwa,Wennappuwa,Wennappuwa,Wennappuwa,Seeduwa,Seeduwa,Wennappuwa,Ethgala Sri Bodhirajaramaya,Danowita,Danowita,Danowita,Naula Bus Stop,Danowita,Danowita,Danowita,Thihariya,Danowita,Danowita,Danowita,Danowita
27,218,Dummaldeniya,Beruwala,Warakapola,Dummaldeniya,Nittambuwa,Dummaldeniya,Dummaldeniya,Dummaldeniya,Kajugama,Warakapola,Dummaldeniya,Beruwala,Hingurala,,,,,,Dandugama,Dandugama,,Mariyawattha Kadevidiya,Dummaldeniya,Dummaldeniya,Dummaldeniya,Modella Primary School,Dummaldeniya,Dummaldeniya,Dummaldeniya,Nittambuwa Sangabodi,Dummaldeniya,Dummaldeniya,Dummaldeniya,Dummaldeniya
28,223,Warakapola,Hettimulla Handiya,Ambepussa,Warakapola,Nittambuwa Sangabodi,Warakapola,Warakapola,Warakapola,Radawadunna,Ambepussa,Warakapola,Hettimulla Handiya,Puwakpitiya,Katuneriya,Katuneriya,Katuneriya,Katuneriya,Katuneriya,Thudella,Thudella,Katuneriya,Gampola,Warakapola,Warakapola,Warakapola,Mahaweli Junction,Warakapola,Warakapola,Warakapola,Nittambuwa,Warakapola,Warakapola,Warakapola,Warakapola
29,231,Ambepussa,Moragalla,Mahena,Ambepussa,Thihariya,Ambepussa,Ganithapura,Ganithapura,Wewaldeniya,Mahena,Ambepussa,Moragalla,Ukkwatta,Marawila Hospital,Marawila Hospital,Marawila Hospital,Marawila Hospital,Marawila Hospital,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Marawila Hospital,Bothalapitiya,Ambepussa,Ambepussa,Ambepussa,Lenadora Maliyadeva Viharaya,Ambepussa,Ambepussa,Ambepussa,Kalalpitiya,Ambepussa,Ambepussa,Ambepussa,Ambepussa
30,238,Mahena,Aluthgama,Tholangamuwa,Mahena,Kalagedihena,Mahena,Thalliyadda,Thalliyadda,Danowita,Tholangamuwa,Mahena,Aluthgama,Awissawella,Marawila,Marawila,Marawila,Marawila,Marawila,Kapuwatta,Kapuwatta,Marawila,Galagediyaawa,Mahena,Mahena,Mahena,Pannampitiya Vidyalaya,Naangalla,Naangalla,Naangalla,Pasyala,Naangalla,Naangalla,Naangalla,Mahena
31,243,Tholangamuwa,Benthota,Gasnawawatta Handiya,Tholangamuwa,Aluthgama,Tholangamuwa,Koongoda Handiya,Dorawaka,Dummaldeniya,Gasnawawatta Handiya,Tholangamuwa,Benthota,Maadola,Thalwila,Thalwila,Thalwila,Thalwila,Thalwila,Kandana,Kandana,Thalwila,Waeligalla,Tholangamuwa,Tholangamuwa,Tholangamuwa,40th Milepost,Thulhiriya,Thulhiriya,Thulhiriya,Kajugama,Thulhiriya,Thulhiriya,Thulhiriya,Tholangamuwa
32,251,Gasnawawatta Handiya,Warahena,Nelumdeniya,Gasnawawatta Handiya,Yakkala,Gasnawawatta Handiya,Niyadurupola,Galamuna Wele Kade,Warakapola,Nelumdeniya,Gasnawawatta Handiya,Warahena,Dehigahapitiya,Mahawewa,Mahawewa,Mahawewa,Mahawewa,Mahawewa,Mahabage,Mahabage,Mahawewa,Gelioya,Gasnawawatta Handiya,Gasnawawatta Handiya,Gasnawawatta Handiya,Dhambulu Oya,Alawwa Handiya,Alawwa Handiya,Alawwa Handiya,Radawadunna,Alawwa Handiya,Alawwa Handiya,Alawwa Handiya,Gasnawawatta Handiya
33,256,Nelumdeniya,Induruwa,Batapolathanna ,Nelumdeniya,Miriswatta,Nelumdeniya,Hallawa,Kohombadeniya School Halt,Ambepussa,Batapolathanna ,Nelumdeniya,Induruwa,Gatahaththa,Madampe,Madampe,Madampe,Madampe,Madampe,Maabola,Maabola,Madampe,Kossinna,Nelumdeniya,Nelumdeniya,Nelumdeniya,Kapuwattha,Alawwa,Alawwa,Alawwa,Wewaldeniya,Alawwa,Alawwa,Alawwa,Nelumdeniya
34,263,Batapolathanna ,Maha Induruwa,Siyambalapitiya,Batapolathanna ,Mudungoda,Batapolathanna ,Galapitamada,Manikkadawara,Mahena,Siyambalapitiya,Batapolathanna ,Maha Induruwa,Minnana,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Wattala Postoffice,Wattala Postoffice,Galahitiyawa Handiya,Angunawala,Batapolathanna ,Batapolathanna ,Batapolathanna ,Vihara Junction,Kapuwarala,Kapuwarala,Kapuwarala,Danowita,Kapuwarala,Kapuwarala,Kapuwarala,Batapolathanna 
35,269,Siyambalapitiya,Duuwa Modara,Ballapana Handiya,Siyambalapitiya,Trackmo Handiya,Siyambalapitiya,,Imbulowita,Tholangamuwa,Ballapana Handiya,Siyambalapitiya,Duuwa Modara,Thoranakada,Pammbala,Pammbala,Pammbala,Pammbala,Pammbala,Peliyagoda,Peliyagoda,Pammbala,Peradeniya,Siyambalapitiya,Siyambalapitiya,Siyambalapitiya,Dambulla,Walakumbura,Walakumbura,Walakumbura,Dummaldeniya,Walakumbura,Walakumbura,Walakumbura,Siyambalapitiya
36,276,Ballapana Handiya,Kosgoda,Galigamuwa,Ballapana Handiya,Kirillawala,Ballapana Handiya,,,Gasnawawatta Handiya,Galigamuwa,Ballapana Handiya,Kosgoda,Mooragala Handiya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kelanitissa,Kelanitissa,Kaakkapalliya,Gatambe,Ballapana Handiya,Ballapana Handiya,Ballapana Handiya,Mirisgoniyawa,Morawalapitiya,Morawalapitiya,Morawalapitiya,Warakapola,Morawalapitiya,Morawalapitiya,Morawalapitiya,Ballapana Handiya
37,282,Galigamuwa,Ahungalla,Ambanpitiya,Galigamuwa,Indigahamulla,Galigamuwa,,,Nelumdeniya,Ambanpitiya,Galigamuwa,Ahungalla,Eheliyagoda,Merawala,Merawala,Merawala,Merawala,Merawala,Dematagoda,Dematagoda,Merawala,Mulgampola,Galigamuwa,Galigamuwa,Galigamuwa,Pelwahara Seed Farm,Polgahawela,Polgahawela,Polgahawela,Ambepussa,Polgahawela,Polgahawela,Polgahawela,Galigamuwa
38,289,Ambanpitiya,Pathegama,Ranwala Handiya,Ambanpitiya,Gonahena,Ambanpitiya,,,Batapolathanna ,Ranwala Handiya,Ambanpitiya,Pathegama,Maahingoda,Chilaw,Chilaw,Chilaw,Chilaw,Chilaw,Borella,Borella,Chilaw,Kandy,Ambanpitiya,Ambanpitiya,Ambanpitiya,Pelwahara Junior School,Godawela,Godawela,Godawela,Naangalla,Godawela,Godawela,Godawela,Ambanpitiya
39,294,Ranwala Handiya,Balapitiya,Kegalle,Ranwala Handiya,Kadawatha,Ranwala Handiya,,,Siyambalapitiya,Kegalle,Ranwala Handiya,Balapitiya,Thalaawitiya,Thembilla Moola,Thembilla Moola,Thembilla Moola,Thembilla Moola,Thembilla Moola,Rajagiriya,Narahenpita,Thembilla Moola,Mahaiyawa B.M.C Junction,Ranwala Handiya,Ranwala Handiya,Ranwala Handiya,Rotarigama,Kahawatte Ela,Kahawatte Ela,Kahawatte Ela,Thulhiriya,Kahawatte Ela,Kahawatte Ela,Kahawatte Ela,Ranwala Handiya
40,301,Kegalle,Balapitiya Hospital,,Kegalle,Mahara,Kegalle,,,Ballapana Handiya,Meepitiya,Kegalle,Balapitiya Hospital,Bodhi Maluwa,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Ethul Kotte Junction,,Deduruoya Bridge,Katugastota,Kegalle,Kegalle,Kegalle,Inaamaluwa,Hondella,Hondella,Hondella,Alawwa Handiya,Hondella,Hondella,Hondella,Kegalle
41,307,Meepitiya,Randoba,,Ashokaramaya,Kiribathgoda,Meepitiya,,,Galigamuwa,Karandupotha,Meepitiya,Randoba,Parakaduwa,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Baththaramulla,,Bangadeniya Handiya,4th Lane ,Meepitiya,Meepitiya,Meepitiya,,Bulugolla,Bulugolla,Bulugolla,Alawwa,Bulugolla,Bulugolla,Bulugolla,Meepitiya
42,314,Karandupotha,Ambalangoda,,Paragammana Handiya,University of Kelaniya,Karandupotha,,,Ambanpitiya,Molagoda,Karandupotha,Ambalangoda,Thiriwaana 43th Milepost,Raajakadaluwa,Raajakadaluwa,Raajakadaluwa,Diganwewa,Diganwewa,Palawatta Junction,,Raajakadaluwa,Ambathenna ,Karandupotha,Karandupotha,Karandupotha,,Pothuhera,Pothuhera,Pothuhera,Kapuwarala,Pothuhera,Pothuhera,Pothuhera,Karandupotha
43,320,Molagoda,Madampe,,Maathura School Halt,Thorana Handiya,Molagoda,,,Ranwala Handiya,Mangalagama,Molagoda,Madampe,Pussella,Arachchikattuwa,Arachchikattuwa,Arachchikattuwa,Dematapitiya,Dematapitiya,Thalawathugoda,,Arachchikattuwa,Akurana Town,Molagoda,Molagoda,Molagoda,Maagallena,Dambokka,Dambokka,Dambokka,Walakumbura,Dambokka,Dambokka,Dambokka,Molagoda
44,327,Mangalagama,Akurala,,Hettimulla Handiya,4th Milepost,Mangalagama,,,Kegalle,Uthuwankanda,Mangalagama,Akurala,Millawitiya,Nalladarankattuwa,Nalladarankattuwa,Nalladarankattuwa,Nelumkuliya,Nelumkuliya,Polwatta Junction,,Nalladarankattuwa,Akurana 7th Milepost,Mangalagama,Mangalagama,Mangalagama,Digampathana,Wanduragala,Wanduragala,Wanduragala,Morawalapitiya,Wanduragala,Wanduragala,Wanduragala,Mangalagama
45,332,Uthuwankanda,Kahawa,,5th Milepost,Kelanitissa,Uthuwankanda,,,Meepitiya,Anwaram,Uthuwankanda,Kahawa,Higgashena,Anawilundawa,Anawilundawa,Anawilundawa,Kumara Kattuwa,Kumara Kattuwa,Pannipitiya,,Anawilundawa,8th Milepost,Uthuwankanda,Uthuwankanda,Uthuwankanda,Awudangawa,Wahara,Wahara,Wahara,Polgahawela,Wahara,Wahara,Wahara,Uthuwankanda
46,340,Anwaram,Thelwatta,,Moronthota,Dematagoda,Anwaram,,,Karandupotha,Mawanella,Anwaram,Weragoda,Kuruwita Bus Halt,,,,Mandalaana,Mandalaana,Maharagama,,,Alawathugoda,Anwaram,Anwaram,Anwaram,Hiriwadunna School Halt,,,,Godawela,,,,Anwaram
47,345,Mawanella,Sinigama,,Maaboopitiya Handiya,Borella,Mawanella,,,Molagoda,Beligammana,Mawanella,Mitiyaagoda,Paradise Handiya,Baththuluoya,Baththuluoya,Baththuluoya,Puliyankulam,Puliyankulam,,,Baththuluoya,Balakaduwa Junction ,Mawanella,Mawanella,Mawanella,Habarana,Kurunegala,Kurunegala,Kurunegala,Kahawatte Ela,Kurunegala,Kurunegala,Kurunegala,Mawanella
48,352,Beligammana,Hikkaduwa,,Undugoda Nikapitiya Handiya,Narahenpita,Kappagoda Handiya,,,Mangalagama,Higula,Beligammana,Nindaana,Batuhena School Halt,Tharawilluwa,Tharawilluwa,Tharawilluwa,Pallama,Pallama,,,Tharawilluwa,Warakamuuna,Beligammana,Beligammana,Beligammana,Sigiriya Junction,Polattapitiya,Polattapitiya,Polattapitiya,Hondella,Polattapitiya,Polattapitiya,Polattapitiya,Beligammana
49,358,Higula,Naarigama,,Thannimale,,Daaswatta Handiya,,,Uthuwankanda,Ganethanna,Higula,Batapola,Panukaraapitiya,Keeriyankalliya,Keeriyankalliya,Keeriyankalliya,Poththukulam,Poththukulam,,,Keeriyankalliya,Aelwala Junction,Higula,Higula,Higula,,,,,Bulugolla,,,,Higula
50,365,Ganethanna,Kumarakanda Handiya,,,,Ussaapitiya,,,Anwaram,Pahala Kadugannawa,Ganethanna,Kahatapitiya,Farmgarden,Mundalama Hospital,Mundalama Hospital,Mundalama Hospital,Adammana,Adammana,,,Mundalama Hospital,Hospital Junction,Ganethanna,Ganethanna,Ganethanna,Moragaswewa,Yaggapitiya,Yaggapitiya,Yaggapitiya,Pothuhera,Yaggapitiya,Yaggapitiya,Yaggapitiya,Ganethanna
51,371,Pahala Kadugannawa,Dodanduwa,,,,Alupotha,,,Mawanella,Kadugannawa,Pahala Kadugannawa,Maanampitigama,Hospital Junction,Mundalama,Mundalama,Mundalama,Serukale,Serukale,,,Mundalama,Mathale,Pahala Kadugannawa,Pahala Kadugannawa,Pahala Kadugannawa,,Thorayaya,Thorayaya,Thorayaya,Dambokka,Thorayaya,Thorayaya,Thorayaya,Pahala Kadugannawa
52,378,Kadugannawa,Rathgama,,,,Polambeegoda,,,Beligammana,Henawala,Kadugannawa,Apegama Handiya,Rathnapura Bus Halt,Katanahenawatta,Katanahenawatta,Katanahenawatta,Siyambalagaswewa,Siyambalagaswewa,,,Katanahenawatta,Alu Viharaya,Kadugannawa,Kadugannawa,Kadugannawa,Ambagasawewa,Kiriwawula,Kiriwawula,Kiriwawula,Wanduragala,Kiriwawula,Kiriwawula,Kiriwawula,Kadugannawa
53,383,Henawala,Bussa Army Camp,,,,Gawilipitiya,,,Higula,Pilimathalawa,Henawala,Waaniyawela Ambalama,Rathnapura Deport,Nawadankulama,Nawadankulama,Nawadankulama,Naagawila,Naagawila,,,Nawadankulama,Thotagamuwa,Henawala,Henawala,Henawala,,Daeduru oya,Daeduru oya,Daeduru oya,Wahara,Daeduru oya,Daeduru oya,Daeduru oya,Henawala
